qseqid	dataA1_evalue	dataA1_bitscore	dataA2_evalue	dataA2_bitscore	dataB1_evalue	dataB1_bitscore	dataB2_evalue	dataB2_bitscore	hgt_dataA_index	hgt_dataB_index	type
Aplysia_XP_005088868.1	2e-28	121	8e-152	442	NA	0	2e-88	279	-321	-279	Apca
Aplysia_XP_005088871.1	2e-18	80.1	4e-28	104	NA	0	2e-22	89.7	-23.900000000000006	-89.7	Apca
Aplysia_XP_005088872.2	1e-48	190	0	956	NA	0	0	751	-766	-751	Apca
Aplysia_XP_005088874.2	3e-7	57	0	589	5e-5	51.2	4e-20	100	-532	-48.8	Apca
Aplysia_XP_005092935.1	2e-18	90.1	5e-88	287	NA	0	9e-55	202	-196.9	-202	Apca
Aplysia_XP_005092943.2	1e-22	98.2	1e-57	190	3e-25	104	2e-51	174	-91.8	-70	Apca
Aplysia_XP_005092956.1	2e-15	78.2	1e-14	72.8	6e-6	48.9	2e-14	74.3	5.400000000000006	-25.4	Apca
Aplysia_XP_005092957.2	6e-13	69.3	8e-49	167	NA	0	1e-44	166	-97.7	-166	Apca
Aplysia_XP_005092962.2	9e-37	148	2e-107	347	NA	0	2e-53	193	-199	-193	Apca
Aplysia_XP_005092965.1	4e-79	276	0	851	NA	0	7e-179	534	-575	-534	Apca
Aplysia_XP_005092967.1	4e-79	276	0	851	NA	0	7e-179	534	-575	-534	Apca
Aplysia_XP_005092968.1	1e-13	75.9	6e-151	434	6e-9	57.8	7e-11	66.2	-358.1	-8.400000000000006	Apca
Aplysia_XP_005092969.1	5e-46	157	1e-101	297	NA	0	2e-70	217	-140	-217	Apca
Aplysia_XP_005092970.1	2e-21	103	2e-152	468	NA	0	9e-93	310	-365	-310	Apca
Aplysia_XP_005092972.1	2e-21	103	2e-152	468	NA	0	9e-93	310	-365	-310	Apca
Aplysia_XP_005092974.1	5e-5	46.6	4e-24	101	NA	0	1e-25	105	-54.4	-105	Apca
Aplysia_XP_005092976.1	3e-38	147	1e-109	336	NA	0	2e-54	189	-189	-189	Apca
Aplysia_XP_005092977.2	2e-35	147	3e-147	465	NA	0	2e-71	254	-318	-254	Apca
Aplysia_XP_005092979.1	8e-97	288	3e-158	444	NA	0	4e-148	417	-156	-417	Apca
Aplysia_XP_005092980.1	5e-42	162	6e-147	439	NA	0	6e-119	363	-277	-363	Apca
Aplysia_XP_005092981.1	2e-36	144	0	610	NA	0	2e-160	471	-466	-471	Apca
Aplysia_XP_005092982.1	2e-36	144	0	610	NA	0	2e-160	471	-466	-471	Apca
Aplysia_XP_005092983.1	2e-36	144	0	610	NA	0	1e-160	472	-466	-472	Apca
Aplysia_XP_005092984.1	4e-37	146	0	613	NA	0	2e-162	476	-467	-476	Apca
Aplysia_XP_005092985.1	1e-131	380	2e-170	478	4e-33	125	4e-151	428	-98	-303	Apca
Aplysia_XP_005092988.1	3e-25	102	1e-63	200	3e-16	75.5	1e-41	144	-98	-68.5	Apca
Aplysia_XP_005092989.1	1e-13	67.4	5e-38	130	NA	0	3e-28	104	-62.599999999999994	-104	Apca
Aplysia_XP_005092999.1	6e-38	132	2e-41	139	NA	0	4e-38	134	-7	-134	Apca
Aplysia_XP_005093000.1	6e-107	341	0	681	NA	0	0	553	-340	-553	Apca
Aplysia_XP_005093001.1	6e-107	341	0	681	NA	0	0	553	-340	-553	Apca
Aplysia_XP_005093002.1	7e-107	341	0	681	NA	0	0	553	-340	-553	Apca
Aplysia_XP_005093004.1	1e-24	101	0	515	NA	0	4e-118	354	-414	-354	Apca
Aplysia_XP_005093005.1	1e-16	79.7	1e-166	477	NA	0	6e-107	324	-397.3	-324	Apca
Aplysia_XP_005093008.1	2e-24	111	6e-30	125	NA	0	2e-46	176	-14	-176	Apca
Aplysia_XP_005093011.2	3e-26	122	0	1057	NA	0	5e-83	305	-935	-305	Apca
Aplysia_XP_005093021.2	5e-23	102	3e-20	97.8	2e-16	83.6	2e-15	82.4	4.200000000000003	1.1999999999999886	Apca
Aplysia_XP_005093022.2	2e-7	58.9	3e-106	350	NA	0	1e-66	242	-291.1	-242	Apca
Aplysia_XP_005093030.2	2e-17	83.6	NA	0	4e-22	96.7	6e-32	125	83.6	-28.299999999999997	Apca
Aplysia_XP_005093031.1	4e-25	97.1	1e-27	103	5e-10	55.8	4e-23	91.3	-5.900000000000006	-35.5	Apca
Aplysia_XP_005093032.1	5e-9	59.3	8e-107	317	NA	0	7e-41	145	-257.7	-145	Apca
Aplysia_XP_005093033.1	5e-9	58.9	3e-106	315	NA	0	5e-41	145	-256.1	-145	Apca
Aplysia_XP_005093044.1	2e-42	170	0	736	2e-14	80.1	1e-131	430	-566	-349.9	Apca
Aplysia_XP_005093046.1	5e-69	238	0	657	1e-7	58.5	2e-167	503	-419	-444.5	Apca
Aplysia_XP_005093048.1	5e-69	238	0	657	1e-7	58.5	2e-167	503	-419	-444.5	Apca
Aplysia_XP_005093049.1	5e-69	238	0	657	1e-7	58.5	2e-167	503	-419	-444.5	Apca
Aplysia_XP_005093050.1	0	936	0	1833	3e-121	399	0	1633	-897	-1234	Apca
Aplysia_XP_005093052.1	1e-6	50.8	2e-17	80.5	NA	0	4e-11	60.8	-29.700000000000003	-60.8	Apca
Aplysia_XP_005093054.1	9e-7	51.6	2e-16	76.6	NA	0	1e-10	59.3	-24.999999999999993	-59.3	Apca
Aplysia_XP_005093056.1	5e-5	49.3	6e-97	304	NA	0	1e-7	56.2	-254.7	-56.2	Apca
Aplysia_XP_005093057.1	5e-5	49.3	6e-97	304	NA	0	1e-7	56.2	-254.7	-56.2	Apca
Aplysia_XP_005093058.1	5e-5	49.3	6e-97	304	NA	0	1e-7	56.2	-254.7	-56.2	Apca
Aplysia_XP_005093059.1	6e-13	73.9	0	557	2e-7	54.7	8e-53	182	-483.1	-127.3	Apca
Aplysia_XP_005093061.1	6e-13	73.9	0	557	2e-7	54.7	8e-53	182	-483.1	-127.3	Apca
Aplysia_XP_005093062.1	4e-12	67.8	2e-65	211	NA	0	6e-43	152	-143.2	-152	Apca
Aplysia_XP_005093063.1	8e-81	255	0	511	4e-88	273	3e-167	474	-256	-201	Apca
Aplysia_XP_005093066.2	2e-9	60.1	4e-25	109	NA	0	3e-26	109	-48.9	-109	Apca
Aplysia_XP_005093068.1	9e-11	63.9	6e-28	116	NA	0	1e-26	110	-52.1	-110	Apca
Aplysia_XP_005093069.1	6e-30	130	4e-163	495	NA	0	5e-107	345	-365	-345	Apca
Aplysia_XP_005093070.1	8e-30	130	2e-162	493	NA	0	5e-106	342	-363	-342	Apca
Aplysia_XP_005093071.1	8e-30	129	2e-154	472	NA	0	6e-104	337	-343	-337	Apca
Aplysia_XP_005093072.1	9e-30	129	1e-151	464	NA	0	7e-105	337	-335	-337	Apca
Aplysia_XP_005093074.2	1e-16	82.4	0	833	NA	0	1e-172	508	-750.6	-508	Apca
Aplysia_XP_005093081.1	3e-15	79.7	2e-41	159	NA	0	2e-21	100	-79.3	-100	Apca
Aplysia_XP_005093086.1	1e-40	153	2e-65	226	NA	0	2e-54	195	-73	-195	Apca
Aplysia_XP_005093087.1	2e-41	155	5e-64	221	NA	0	2e-53	192	-66	-192	Apca
Aplysia_XP_005093090.2	6e-11	70.1	2e-85	291	NA	0	1e-48	186	-220.9	-186	Apca
Aplysia_XP_005093093.2	4e-42	151	5e-80	248	8e-43	152	1e-39	143	-97	9	Apca
Aplysia_XP_005093094.2	5e-6	51.2	3e-106	321	NA	0	2e-73	237	-269.8	-237	Apca
Aplysia_XP_005093096.1	5e-37	128	1e-48	156	3e-7	48.1	2e-46	150	-28	-101.9	Apca
Aplysia_XP_005093097.1	3e-101	311	2e-157	459	5e-6	50.4	4e-139	411	-148	-360.6	Apca
Aplysia_XP_005093098.1	4e-27	110	1e-45	159	NA	0	4e-39	140	-49	-140	Apca
Aplysia_XP_005093099.1	2e-24	113	0	988	8e-18	88.6	0	657	-875	-568.4	Apca
Aplysia_XP_005093100.2	2e-150	447	0	670	1e-15	82.4	5e-157	458	-223	-375.6	Apca
Aplysia_XP_005093106.1	3e-13	73.9	2e-68	223	NA	0	8e-26	106	-149.1	-106	Apca
Aplysia_XP_005093107.1	3e-13	73.9	2e-68	223	NA	0	8e-26	106	-149.1	-106	Apca
Aplysia_XP_005093110.1	1e-32	134	9e-74	248	1e-15	82	4e-44	167	-114	-85	Apca
Aplysia_XP_005093111.1	1e-32	134	9e-74	248	1e-15	82	4e-44	167	-114	-85	Apca
Aplysia_XP_005093116.1	7e-21	95.5	4e-49	171	NA	0	5e-16	77	-75.5	-77	Apca
Aplysia_XP_005093117.1	1e-10	63.9	2e-28	112	NA	0	4e-9	57	-48.1	-57	Apca
Aplysia_XP_005093118.2	3e-13	69.7	1e-49	162	1e-12	65.1	2e-8	53.1	-92.3	11.999999999999993	Apca
Aplysia_XP_005093119.1	2e-28	123	2e-177	535	2e-19	95.9	5e-157	480	-412	-384.1	Apca
Aplysia_XP_005093121.1	7e-94	278	8e-131	371	NA	0	3e-125	357	-93	-357	Apca
Aplysia_XP_005093136.2	1e-22	95.9	2e-38	136	NA	0	8e-31	116	-40.099999999999994	-116	Apca
Aplysia_XP_005093139.2	3e-43	149	6e-62	197	1e-9	58.2	9e-45	152	-48	-93.8	Apca
Aplysia_XP_005093140.1	4e-40	160	8e-118	385	1e-5	50.8	1e-53	201	-225	-150.2	Apca
Aplysia_XP_005093143.1	2e-11	63.9	3e-92	281	NA	0	1e-54	183	-217.1	-183	Apca
Aplysia_XP_005093144.1	0	645	0	959	0	573	0	890	-314	-317	Apca
Aplysia_XP_005093145.1	2e-71	247	0	583	2e-37	147	5e-166	487	-336	-340	Apca
Aplysia_XP_005093146.1	3e-9	60.1	2e-98	323	NA	0	2e-52	189	-262.9	-189	Apca
Aplysia_XP_005093147.1	3e-9	60.1	4e-134	400	NA	0	1e-52	189	-339.9	-189	Apca
Aplysia_XP_005093148.1	3e-9	60.5	1e-133	399	NA	0	1e-52	188	-338.5	-188	Apca
Aplysia_XP_005093149.1	3e-9	59.7	2e-120	362	NA	0	4e-53	188	-302.3	-188	Apca
Aplysia_XP_005093150.1	3e-9	59.7	2e-123	369	NA	0	4e-53	188	-309.3	-188	Apca
Aplysia_XP_005093151.1	3e-9	60.1	8e-121	362	NA	0	3e-53	188	-301.9	-188	Apca
Aplysia_XP_005093152.1	3e-9	60.1	5e-122	364	NA	0	2e-53	188	-303.9	-188	Apca
Aplysia_XP_005093156.1	7e-34	142	1e-156	474	NA	0	1e-34	143	-332	-143	Apca
Aplysia_XP_005093157.1	2e-23	97.1	1e-102	300	NA	0	2e-61	195	-202.9	-195	Apca
Aplysia_XP_005093158.2	4e-19	93.2	2e-70	252	NA	0	3e-37	150	-158.8	-150	Apca
Aplysia_XP_005093159.1	3e-43	163	3e-175	491	3e-118	346	3e-163	461	-328	-115	Apca
Aplysia_XP_005093163.1	1e-93	293	1e-126	374	5e-57	195	4e-118	352	-81	-157	Apca
Aplysia_XP_005093164.1	2e-16	85.9	9e-71	244	3e-22	103	2e-22	103	-158.1	0	Apca
Aplysia_XP_005093165.1	2e-16	85.9	9e-71	244	3e-22	103	2e-22	103	-158.1	0	Apca
Aplysia_XP_005093166.1	2e-16	85.9	9e-71	244	3e-22	103	2e-22	103	-158.1	0	Apca
Aplysia_XP_005093167.1	2e-16	85.9	9e-71	244	3e-22	103	2e-22	103	-158.1	0	Apca
Aplysia_XP_005093168.1	2e-16	85.9	9e-71	244	3e-22	103	2e-22	103	-158.1	0	Apca
Aplysia_XP_005093169.1	2e-8	62	2e-106	380	NA	0	3e-81	295	-318	-295	Apca
Aplysia_XP_005093172.1	4e-77	248	2e-85	268	6e-62	207	6e-78	248	-20	-41	Apca
Aplysia_XP_005093173.1	4e-77	248	2e-85	268	6e-62	207	6e-78	248	-20	-41	Apca
Aplysia_XP_005093174.1	4e-77	248	2e-85	268	6e-62	207	6e-78	248	-20	-41	Apca
Aplysia_XP_005093175.1	4e-77	248	2e-85	268	6e-62	207	6e-78	248	-20	-41	Apca
Aplysia_XP_005093179.2	2e-8	60.8	8e-41	158	NA	0	6e-15	80.1	-97.2	-80.1	Apca
Aplysia_XP_005093180.1	2e-44	180	0	1018	NA	0	0	655	-838	-655	Apca
Aplysia_XP_005093181.1	2e-37	140	1e-122	361	NA	0	5e-87	271	-221	-271	Apca
Aplysia_XP_005093182.1	1e-52	189	0	597	7e-10	63.2	7e-167	483	-408	-419.8	Apca
Aplysia_XP_005093184.1	3e-71	254	0	1428	NA	0	0	828	-1174	-828	Apca
Aplysia_XP_005093185.1	0	647	0	904	NA	0	0	801	-257	-801	Apca
Aplysia_XP_005093186.1	6e-88	263	8e-101	296	NA	0	1e-98	290	-33	-290	Apca
Aplysia_XP_005093190.1	1e-20	90.9	5e-143	410	NA	0	3e-124	363	-319.1	-363	Apca
Aplysia_XP_005093191.1	1e-54	206	0	911	NA	0	0	644	-705	-644	Apca
Aplysia_XP_005093195.2	1e-10	67.8	6e-125	380	6e-10	64.3	4e-129	390	-312.2	-325.7	Apca
Aplysia_XP_005093203.1	5e-8	57.8	2e-52	187	NA	0	4e-33	132	-129.2	-132	Apca
Aplysia_XP_005093208.1	1e-6	54.3	1e-57	207	NA	0	6e-22	102	-152.7	-102	Apca
Aplysia_XP_005093209.1	5e-8	58.9	2e-102	320	5e-7	55.5	2e-67	228	-261.1	-172.5	Apca
Aplysia_XP_005093210.1	4e-44	153	3e-101	299	NA	0	3e-88	265	-146	-265	Apca
Aplysia_XP_005093216.1	0	588	0	807	2e-175	510	0	721	-219	-211	Apca
Aplysia_XP_005093217.1	4e-19	84.3	8e-52	170	NA	0	8e-39	136	-85.7	-136	Apca
Aplysia_XP_005093221.1	1e-80	251	1e-121	355	NA	0	7e-98	294	-104	-294	Apca
Aplysia_XP_005093222.1	6e-43	147	1e-65	204	2e-45	152	7e-56	179	-57	-27	Apca
Aplysia_XP_005093227.1	3e-18	91.3	2e-178	518	4e-17	86.7	6e-67	229	-426.7	-142.3	Apca
Aplysia_XP_005093228.1	4e-5	48.1	4e-50	169	NA	0	2e-7	53.5	-120.9	-53.5	Apca
Aplysia_XP_005093229.1	2e-24	115	5e-69	248	NA	0	8e-50	197	-133	-197	Apca
Aplysia_NP_001191392.1	NA	0	1e-40	147	NA	0	7e-14	70.9	-147	-70.9	Apca
Aplysia_NP_001191416.1	NA	0	9e-46	152	NA	0	1e-57	182	-152	-182	Apca
Aplysia_NP_001191419.1	NA	0	2e-35	124	NA	0	6e-12	62	-124	-62	Apca
Aplysia_XP_005088853.1	NA	0	2e-41	160	NA	0	3e-21	98.6	-160	-98.6	Apca
Aplysia_XP_005088869.1	NA	0	9e-136	410	NA	0	3e-21	98.2	-410	-98.2	Apca
Aplysia_XP_005092952.2	NA	0	3e-37	135	NA	0	4e-24	99	-135	-99	Apca
Aplysia_XP_005092955.1	NA	0	3e-36	129	NA	0	7e-10	59.7	-129	-59.7	Apca
Aplysia_XP_005092964.1	NA	0	7e-47	167	NA	0	4e-27	114	-167	-114	Apca
Aplysia_XP_005092986.1	NA	0	1e-53	174	NA	0	5e-42	145	-174	-145	Apca
Aplysia_XP_005092987.1	NA	0	3e-36	127	NA	0	3e-28	107	-127	-107	Apca
Aplysia_XP_005092996.2	NA	0	2e-35	149	NA	0	5e-9	63.2	-149	-63.2	Apca
Aplysia_XP_005093003.1	NA	0	8e-132	390	NA	0	2e-100	311	-390	-311	Apca
Aplysia_XP_005093017.1	NA	0	7e-35	135	NA	0	8e-21	95.9	-135	-95.9	Apca
Aplysia_XP_005093018.1	NA	0	5e-43	160	NA	0	1e-31	127	-160	-127	Apca
Aplysia_XP_005093019.1	NA	0	1e-42	159	NA	0	1e-30	124	-159	-124	Apca
Aplysia_XP_005093064.1	NA	0	1e-26	114	NA	0	5e-24	102	-114	-102	Apca
Aplysia_XP_005093101.2	NA	0	3e-40	144	NA	0	9e-28	110	-144	-110	Apca
Aplysia_XP_005093102.1	NA	0	1e-121	412	NA	0	1e-33	143	-412	-143	Apca
Aplysia_XP_005093103.1	NA	0	2e-128	381	NA	0	2e-43	162	-381	-162	Apca
Aplysia_XP_005093124.2	NA	0	8e-51	177	NA	0	4e-35	132	-177	-132	Apca
Aplysia_XP_005093128.1	NA	0	3e-74	241	NA	0	4e-9	60.5	-241	-60.5	Apca
Aplysia_XP_005093153.2	NA	0	1e-7	56.6	NA	0	9e-5	47.8	-56.6	-47.8	Apca
Aplysia_XP_005093155.2	NA	0	2e-7	56.2	NA	0	9e-5	47.8	-56.2	-47.8	Apca
Aplysia_XP_005093171.1	NA	0	2e-88	281	2e-24	105	1e-49	177	-281	-72	Apca
Aplysia_XP_005093177.1	NA	0	2e-31	114	NA	0	9e-8	50.4	-114	-50.4	Apca
Aplysia_XP_005093178.1	NA	0	8e-34	118	NA	0	5e-13	63.5	-118	-63.5	Apca
Aplysia_XP_005093192.1	NA	0	1e-7	50.1	NA	0	2e-6	46.6	-50.1	-46.6	Apca
Aplysia_XP_005093196.1	NA	0	1e-154	456	NA	0	2e-6	53.1	-456	-53.1	Apca
Aplysia_XP_005093218.1	NA	0	2e-18	86.3	NA	0	1e-7	53.5	-86.3	-53.5	Apca
Aplysia_XP_005093219.1	NA	0	3e-27	105	NA	0	2e-7	49.3	-105	-49.3	Apca
